Id,Complete Name,Department,Employement Status,Location,% terminated,Age,Birthdate,Gender,Hire Date,Jobtitle,Location City,Location State,Termdate
87-1837584,Rufus Dongate,Services,Active,HQ,0,27,04-01-1995,Male,04-10-2010,Senior Developer,Cleveland,Ohio,
42-5529205,Lefty Ramlot,Services,Active,Remote,0,56,11-06-1966,Female,04-11-2020,Solutions Engineer Manager,Evansville,Indiana,
57-4547683,Madelyn MacKartan,Services,Active,HQ,0,46,5/14/1976,Male,09-07-2012,Developer II,Cleveland,Ohio,
08-9156590,Quillan Furnival,Services,Active,HQ,0,21,03-10-2001,Female,07-12-2004,Accounting Assistant III,Cleveland,Ohio,
29-2940964,Vassily Arrandale,Services,Active,HQ,0,32,2/24/1990,Male,29-02-2004,Systems Administrator III,Cleveland,Ohio,
21-4402967,Murry Plowright,Services,Active,Remote,0,28,3/26/1994,Male,05-07-2019,Analyst Programmer,Toledo,Ohio,
10-0595358,Katrine Bothram,Services,Active,HQ,0,22,8/18/2000,Male,20-09-2006,Systems Administrator II,Cleveland,Ohio,
55-5181912,Zebedee Roskams,Services,Active,HQ,0,46,8/29/1976,Non-Conforming,20-04-2008,Business Systems Development Analyst,Cleveland,Ohio,
83-3654598,Johnnie Mumberson,Services,Active,HQ,0,23,8/27/1999,Male,06-01-2018,Trainer III,Cleveland,Ohio,
46-3449738,Jamil Huleatt,Services,Active,HQ,0,53,06-10-1969,Female,07-08-2002,Systems Administrator II,Cleveland,Ohio,
10-6228656,Nehemiah Tallis,Services,Active,Remote,0,36,09-12-1986,Male,09-05-2014,Recruiter,Springfield,Illinois,
08-6179904,Titus Croome,Services,Active,HQ,0,51,8/13/1971,Male,11-05-2018,Senior Cost Accountant,Cleveland,Ohio,
15-4159677,Rickie Philo,Services,Active,HQ,0,53,03-06-1969,Male,30-01-2013,Trainer II,Cleveland,Ohio,
60-5239423,Angelia Vlasov,Services,Active,Remote,0,25,6/22/1997,Male,24-06-2015,Programmer III,Levittown,Pennsylvania,
99-1778519,Pavia Walkley,Services,Terminated,HQ,0,43,1/18/1979,Male,19-02-2011,Senior Trainer,Cleveland,Ohio,
90-1143248,Moses Seyfart,Services,Active,Remote,0,38,3/24/1984,Female,18-03-2004,Desktop Support Technician,Louisville,Kentucky,
61-0605705,Cristiano Grigolon,Services,Active,HQ,0,35,12/27/1987,Male,24-09-2011,Computer Systems Analyst II,Cleveland,Ohio,
71-3811544,Angeli Jorioz,Services,Active,HQ,0,39,03-05-1983,Female,14-05-2013,Desktop Support Technician,Cleveland,Ohio,
15-8580441,Maudie Wardesworth,Services,Active,HQ,0,40,11/22/1982,Male,14-06-2007,Programmer IV,Cleveland,Ohio,
51-6999051,Marco Parram,Services,Active,Remote,0,21,5/24/2001,Male,29-04-2020,Trainer III,Indianapolis,Indiana,
51-9047624,Manny Maddy,Services,Active,HQ,0,32,4/26/1990,Female,02-07-2012,Relationshiop Manager,Cleveland,Ohio,
81-8734628,Dud Talmadge,Services,Active,HQ,0,22,5/19/2000,Male,23-03-2003,Staff Accountant I,Cleveland,Ohio,
21-0468053,Charmane Cannavan,Services,Active,HQ,0,36,8/22/1986,Female,16-07-2013,Research Associate,Cleveland,Ohio,
22-6682798,Alix Bowness,Services,Active,HQ,0,56,6/18/1966,Female,16-10-2007,Cost Accountant,Cleveland,Ohio,
10-3053853,Karleen Gieves,Services,Active,HQ,0,46,10/27/1976,Female,16-07-2020,Computer Systems Analyst IV,Cleveland,Ohio,
25-4715852,Lynea Smeaton,Services,Active,HQ,0,53,4/17/1969,Non-Conforming,26-01-2012,Data Visualization Specialist,Cleveland,Ohio,
79-7073999,Mechelle Van der Kruis,Services,Active,Remote,0,38,10/28/1984,Female,14-07-2011,HR Manager,Flint,Michigan,
34-0326237,Cthrine Yushmanov,Services,Active,HQ,0,28,1/18/1994,Male,02-09-2014,Solutions Engineer,Cleveland,Ohio,
92-8462925,Arlie Misk,Services,Active,HQ,0,54,02-11-1968,Female,07-04-2004,Recruiter,Cleveland,Ohio,
69-0923066,Nissy Leynton,Services,Active,Remote,0,32,6/30/1990,Male,25-03-2008,Trainer I,Dayton,Ohio,
59-9149017,Ainslie Brockhurst,Services,Active,HQ,0,32,02-10-1990,Male,27-07-2015,Programmer Analyst I,Cleveland,Ohio,
73-6710447,Torrey Lothlorien,Services,Active,Remote,0,40,8/18/1982,Male,04-12-2011,Training Manager,Indianapolis,Indiana,
48-4600046,Hendrika Rowbottam,Services,Active,HQ,0,21,10/18/2001,Male,04-05-2007,Software Engineer I,Cleveland,Ohio,
26-6433323,Chiquita Manclark,Services,Active,HQ,0,21,10-08-2001,Female,15-04-2017,Administrative Assistant,Cleveland,Ohio,
76-1898125,Kristoffer McParlin,Services,Active,HQ,0,47,12/29/1975,Female,11-12-2007,Analyst Programmer,Cleveland,Ohio,
95-0060257,Florenza Sieve,Services,Active,HQ,0,39,07-06-1983,Female,10-04-2013,Administrative Assistant,Cleveland,Ohio,
70-7737347,Candie Dickon,Services,Active,HQ,0,52,6/23/1970,Male,29-05-2016,Structural Engineer,Cleveland,Ohio,
12-8066657,Ardelle Fiddeman,Services,Active,HQ,0,43,07-12-1979,Female,31-08-2013,Trainer I,Cleveland,Ohio,
94-4537610,Case Danilovich,Services,Active,Remote,0,52,8/21/1970,Male,20-09-2017,Desktop Support Technician,Chicago,Illinois,
95-3782082,Micky Tezure,Services,Terminated,HQ,0,31,10/25/1991,Male,02-07-2011,Accountant I,Cleveland,Ohio,
11-2410210,Moira Meineck,Services,Terminated,HQ,0,54,8/26/1968,Female,19-08-2006,Account Executive,Cleveland,Ohio,
96-4269540,Ernest Seeley,Services,Active,HQ,0,51,12/16/1971,Non-Conforming,18-04-2009,Desktop Support Technician,Cleveland,Ohio,
20-9257062,Lory Poulden,Services,Active,Remote,0,36,11-10-1986,Male,10-07-2020,Programmer IV,Bloomington,Indiana,
78-4526836,Celestia Yanov,Services,Active,Remote,0,47,06-11-1975,Female,10-07-2020,Systems Administrator IV,Pittsburgh,Pennsylvania,
22-0224587,Arlinda Costley,Services,Active,Remote,0,40,6/29/1982,Male,25-12-2014,Account Executive,Indianapolis,Indiana,
59-6954263,Edgard Bulgen,Services,Active,HQ,0,27,08-06-1995,Male,24-10-2007,Relationshiop Manager,Cleveland,Ohio,
12-1911946,Doris Kinnerley,Services,Active,HQ,0,56,11/15/1966,Female,16-09-2009,Service Tech,Cleveland,Ohio,
89-8347596,Tammie Tebbet,Services,Active,HQ,0,24,7/16/1998,Female,08-02-2007,Software Test Engineer II,Cleveland,Ohio,
75-7346050,Gates Crosi,Services,Active,HQ,0,52,11-03-1970,Male,05-04-2008,Developer IV,Cleveland,Ohio,
33-9401084,Wyn Fonso,Services,Active,Remote,0,27,12/29/1995,Female,25-11-2001,Service Manager,Cincinnati,Ohio,
85-9115902,Nickola Ayer,Services,Active,HQ,0,46,12/24/1976,Male,31-12-2014,Senior Editor,Cleveland,Ohio,
25-8326112,Gwenneth McKendry,Services,Active,HQ,0,43,04-07-1979,Male,02-12-2008,Human Resources Analyst,Cleveland,Ohio,
16-0163473,Hedi Djuricic,Services,Active,HQ,0,26,5/25/1996,Female,22-11-2004,Account Executive,Cleveland,Ohio,
13-0043599,Glenda Creser,Services,Active,HQ,0,49,10/20/1973,Male,14-02-2002,Computer Systems Analyst III,Cleveland,Ohio,
79-4068254,Jasper Konmann,Services,Active,Remote,0,30,08-10-1992,Female,31-03-2018,Business Analyst,Detroit,Michigan,
21-8090420,Ernestine Dignall,Services,Active,HQ,0,52,02-02-1970,Female,19-09-2014,Service Tech,Cleveland,Ohio,
26-1347300,Mercedes Bradnum,Services,Active,HQ,0,42,05-01-1980,Male,28-08-2003,Research Assistant II,Cleveland,Ohio,
28-9021154,Jerald Peyro,Services,Active,Remote,0,20,1/20/2002,Male,05-12-2020,Staff Accountant I,Lansing,Michigan,
05-0346392,Haleigh Gerling,Services,Active,Remote,0,38,11/19/1984,Male,23-08-2014,Senior Trainer,Chicago,Illinois,
74-0224670,Theodor Bocking,Services,Active,HQ,0,30,1/24/1992,Female,26-02-2009,Cost Accountant,Cleveland,Ohio,
82-2291199,Hildegaard Freckleton,Services,Active,HQ,0,42,1/19/1980,Female,26-11-2003,Software Consultant,Cleveland,Ohio,
33-3259446,Therine Cosgreave,Services,Active,HQ,0,27,12-02-1995,Female,03-09-2005,Research Assistant II,Cleveland,Ohio,
69-7627190,Heinrik Critch,Services,Active,HQ,0,27,04-08-1995,Male,06-01-2012,Human Resources Analyst,Cleveland,Ohio,
17-7934191,Kit Cowdroy,Services,Active,HQ,0,43,11-01-1979,Male,18-11-2020,Structural Analysis Engineer,Cleveland,Ohio,
36-7653782,Tomaso Krolman,Services,Active,Remote,0,44,8/24/1978,Male,30-09-2014,Content Developer III,Champaign,Illinois,
64-7318167,Lia Vamplers,Services,Active,Remote,0,41,8/30/1981,Female,14-08-2013,VP Quality Control,Gary,Indiana,
96-8347743,Melania Olphert,Services,Active,HQ,0,53,9/19/1969,Non-Conforming,08-05-2013,Service Manager,Cleveland,Ohio,
28-8977028,Ciel Lethley,Services,Active,HQ,0,38,3/15/1984,Male,23-02-2016,Service Tech II,Cleveland,Ohio,
32-7989366,Cy Elvidge,Services,Active,HQ,0,27,01-06-1995,Male,15-11-2010,Business Development Manager,Cleveland,Ohio,
15-5159766,Patrizia Schwier,Services,Active,HQ,0,47,09-07-1975,Female,27-01-2020,Administrative Officer,Cleveland,Ohio,
93-2716665,Muffin Cazin,Services,Active,HQ,0,40,5/22/1982,Female,23-11-2000,Service Tech,Cleveland,Ohio,
21-2022251,Menard Beatson,Services,Active,HQ,0,32,10-06-1990,Female,27-01-2020,Programmer III,Cleveland,Ohio,
79-0508010,Kellie Duckerin,Support,Active,HQ,0,43,02-04-1979,Male,10-01-2010,Financial Analyst,Cleveland,Ohio,
38-5066125,Nariko Dantesia,Support,Active,HQ,0,23,11/19/1999,Female,06-01-2001,Service Tech III,Cleveland,Ohio,
34-6549581,Halsy Sherwill,Support,Active,HQ,0,21,2/14/2001,Male,12-06-2002,Accountant IV,Cleveland,Ohio,
25-3948858,Bale Mont,Support,Active,Remote,0,22,1/13/2000,Female,23-12-2016,Solutions Engineer Manager,Lexington,Kentucky,
11-8566289,Townsend Geering,Support,Active,HQ,0,24,06-10-1998,Female,16-12-2019,Service Coordinator,Cleveland,Ohio,
40-1794618,Jamison Classen,Support,Active,HQ,0,50,03-06-1972,Female,24-05-2014,Internal Auditor,Cleveland,Ohio,
58-3430065,Dominga Donaldson,Support,Active,HQ,0,46,06-02-1976,Male,23-09-2007,Systems Administrator IV,Cleveland,Ohio,
67-1724093,Paulie Cornils,Support,Active,HQ,0,46,03-03-1976,Male,22-02-2006,Research Assistant III,Cleveland,Ohio,
20-1956104,Beck Minchell,Support,Active,Remote,0,26,11/20/1996,Non-Conforming,15-03-2002,Software Engineer I,Detroit,Michigan,
72-9403778,Beatrice Phillippo,Support,Active,HQ,0,25,07-12-1997,Male,28-02-2004,Human Resources Analyst,Cleveland,Ohio,
70-8826188,Jacques Claypoole,Support,Terminated,HQ,0,50,11/25/1972,Male,01-06-2016,Software Engineer III,Cleveland,Ohio,
83-9151653,Evy Lutton,Support,Active,HQ,0,50,3/26/1972,Female,04-10-2013,Systems Administrator I,Cleveland,Ohio,
96-8917860,Crystal Dobby,Support,Active,HQ,0,22,2/26/2000,Male,20-10-2018,Service Tech III,Cleveland,Ohio,
68-7005420,Marlow Voaden,Support,Active,HQ,0,52,3/18/1970,Male,09-02-2006,Project Manager,Cleveland,Ohio,
17-8975190,Jody Coggill,Support,Active,HQ,0,21,12-02-2001,Male,10-06-2006,Pre-Sales Consultant,Cleveland,Ohio,
68-4799729,Jephthah Fawlo,Support,Active,HQ,0,20,2/27/2002,Female,09-02-2005,Software Test Engineer II,Cleveland,Ohio,
59-7695991,Germain Sibun,Support,Active,HQ,0,39,8/19/1983,Female,22-04-2009,Recruiter,Cleveland,Ohio,
41-8489508,Shaun Devany,Support,Terminated,Remote,0,51,09-11-1971,Male,06-02-2011,Account Manager,Peoria,Illinois,
22-5617639,Nalani Martineau,Support,Terminated,HQ,0,35,12/14/1987,Female,08-05-2011,Operator,Cleveland,Ohio,
39-0444747,Yancey Phizakarley,Support,Active,HQ,0,21,02-12-2001,Female,11-12-2001,Recruiter,Cleveland,Ohio,
97-2740343,Sherry Alesbrook,Support,Active,Remote,0,34,3/16/1988,Female,08-02-2007,Assistant Trainer,Pittsburgh,Pennsylvania,
47-4212905,Serge Scoble,Support,Active,HQ,0,21,05-08-2001,Female,21-03-2001,Tax Accountant,Cleveland,Ohio,
82-6608220,Yanaton Benz,Support,Active,Remote,0,22,05-10-2000,Non-Conforming,04-11-2007,Research Assistant I,Lexington,Kentucky,
39-8930044,Devlen Clucas,Support,Active,HQ,0,22,2/24/2000,Male,09-07-2004,Software Engineer I,Cleveland,Ohio,
62-0348382,Will Eddow,Support,Active,Remote,0,32,9/15/1990,Female,24-11-2002,Human Resources Analyst II,Cincinnati,Ohio,
05-9392556,Iver Pettengell,Support,Active,HQ,0,30,10-02-1992,Male,04-04-2001,Analyst Programmer,Cleveland,Ohio,
58-9656249,Della Blackmoor,Support,Active,Remote,0,25,9/21/1997,Female,14-06-2009,Automation Specialist III,Evansville,Indiana,
48-3889629,Fairfax Duly,Support,Active,HQ,0,20,01-06-2002,Female,28-12-2007,Senior Developer,Cleveland,Ohio,
87-2167174,Averell Jephson,Support,Active,HQ,0,54,4/30/1968,Non-Conforming,25-12-2004,Help Desk Operator,Cleveland,Ohio,
21-0492079,Corette Hovell,Support,Active,HQ,0,33,3/16/1989,Male,04-08-2008,Service Tech,Cleveland,Ohio,
25-9588961,Belva Tollemache,Support,Active,Remote,0,46,03-02-1976,Female,15-10-2007,Software Engineer I,Pittsburgh,Pennsylvania,
46-1106109,Chaddie Dmitrichenko,Support,Active,Remote,0,52,12/18/1970,Male,11-03-2019,Editor,Chicago,Illinois,
20-4013177,Shalom Sweetmore,Support,Active,HQ,0,38,3/20/1984,Male,04-07-2015,Accountant IV,Cleveland,Ohio,
97-8299484,Bernadene Wedlake,Support,Active,HQ,0,42,06-05-1980,Male,03-07-2009,Software Engineer I,Cleveland,Ohio,
28-3584570,Samara McHenry,Support,Active,HQ,0,34,7/21/1988,Female,08-12-2005,Research Assistant I,Cleveland,Ohio,
27-0654095,Francesca Stoving,Support,Active,Remote,0,32,01-10-1990,Female,07-04-2016,Software Consultant,Dayton,Ohio,
58-8195379,Ferrell Clemes,Training,Active,Remote,0,36,12-02-1986,Female,01-10-2016,Senior Developer,Grand Rapids,Michigan,
04-7558066,Greta Cuttings,Training,Active,HQ,0,34,8/20/1988,Female,22-10-2020,Solutions Engineer,Cleveland,Ohio,
62-7096276,Ola Ilyinski,Training,Active,HQ,0,22,09-09-2000,Male,19-03-2009,Financial Analyst,Cleveland,Ohio,
68-3469803,Lynelle McPhillimey,Training,Active,Remote,0,52,03-11-1970,Male,23-09-2012,Recruiter,Dayton,Ohio,
32-4030347,Eveleen Gatchel,Training,Active,HQ,0,51,07-08-1971,Female,16-06-2017,Research Assistant II,Cleveland,Ohio,
52-0393381,Chick Preston,Training,Active,HQ,0,29,6/18/1993,Male,08-11-2010,Systems Administrator III,Cleveland,Ohio,
71-0928178,Franni Altree,Training,Active,HQ,0,24,03-09-1998,Female,05-03-2002,Compensation Analyst,Cleveland,Ohio,
10-9564253,Mason Holywell,Training,Active,HQ,0,46,10/26/1976,Male,31-08-2018,Software Test Engineer II,Cleveland,Ohio,
18-2084463,Kellyann Biddulph,Training,Active,Remote,0,21,04-03-2001,Male,10-12-2012,Trainer I,Peoria,Illinois,
98-4377453,Shurlock Comberbach,Training,Active,Remote,0,29,12/25/1993,Female,17-12-2003,Actuary,Louisville,Kentucky,
92-8958799,Hodge Harome,Training,Active,HQ,0,38,1/24/1984,Male,05-05-2018,Account Executive,Cleveland,Ohio,
29-5170054,Nichol Wyche,Training,Active,HQ,0,34,09-02-1988,Male,11-05-2011,Service Tech,Cleveland,Ohio,
89-9330196,Marijn Tomaello,Training,Active,HQ,0,23,1/20/1999,Male,24-08-2005,Paralegal,Cleveland,Ohio,
76-6734200,Tye Grimster,Training,Active,HQ,0,37,8/13/1985,Non-Conforming,28-07-2010,Web Developer II,Cleveland,Ohio,
76-0071525,Kylynn Babbs,Training,Active,HQ,0,27,08-05-1995,Female,13-11-2002,Software Consultant,Cleveland,Ohio,
11-0922413,Barnett Reace,Training,Active,HQ,0,23,04-03-1999,Female,15-03-2017,Account Executive,Cleveland,Ohio,
64-0125942,Vyky Goodbarne,Training,Terminated,HQ,0,26,06-10-1996,Female,19-08-2004,Mechanical Systems Engineer,Cleveland,Ohio,
15-9679901,Josi Filisov,Training,Active,HQ,0,52,05-11-1970,Female,27-10-2004,Solutions Engineer Manager,Cleveland,Ohio,
90-2577070,Meghann Pestridge,Training,Active,HQ,0,45,4/25/1977,Male,19-05-2009,Computer Systems Analyst IV,Cleveland,Ohio,
49-9002659,Idell Tatters,Training,Active,Remote,0,46,10-06-1976,Male,14-07-2008,Business Analyst,South Bend,Indiana,
49-2423697,Dolorita Jeyness,Training,Active,Remote,0,42,03-01-1980,Female,27-08-2003,Structural Analysis Engineer,Cleveland,Ohio,
62-3998793,Murielle Derington,Training,Active,HQ,0,29,7/22/1993,Male,28-10-2000,Programmer Analyst III,Cleveland,Ohio,
68-1389376,Lauritz Studders,Training,Active,HQ,0,20,3/31/2002,Female,08-10-2008,Data Visualization Specialist,Cleveland,Ohio,
12-6964715,Fidelia Rapi,Training,Active,HQ,0,52,12-04-1970,Male,31-10-2018,Analyst Programmer,Cleveland,Ohio,
28-3326916,Brenda Casewell,Training,Active,HQ,0,38,06-03-1984,Female,31-08-2006,Senior Cost Accountant,Cleveland,Ohio,
87-5015530,Ikey Inglish,Training,Active,HQ,0,21,10-10-2001,Female,16-03-2012,Financial Analyst,Cleveland,Ohio,
48-5120594,Masha McTavish,Training,Active,HQ,0,35,05-06-1987,Female,28-10-2001,Software Engineer I,Cleveland,Ohio,
15-6727172,Jase Baudon,Training,Active,HQ,0,44,08-07-1978,Male,25-07-2018,Recruiting Manager,Cleveland,Ohio,
82-0014877,Gwennie Duddle,Training,Active,Remote,0,42,8/17/1980,Male,16-03-2003,Pre-Sales Consultant,Detroit,Michigan,
11-1011621,Gib Booi,Training,Active,Remote,0,45,5/16/1977,Female,23-01-2016,Systems Administrator I,Springfield,Illinois,
31-3880742,Kimble Skala,Training,Active,HQ,0,49,1/14/1973,Male,25-08-2015,Web Developer III,Cleveland,Ohio,
35-0022503,Baryram Wimpenny,Training,Active,HQ,0,24,10/22/1998,Female,23-07-2007,Accounting Assistant I,Cleveland,Ohio,
37-6524598,Maisey Rumgay,Training,Active,HQ,0,45,11-04-1977,Male,04-10-2007,Human Resources Analyst II,Cleveland,Ohio,
84-5957137,Roxine Eastcott,Training,Active,Remote,0,31,06-10-1991,Female,30-07-2001,Content Developer II,Philadelphia,Pennsylvania,
55-0324713,Geri Geale,Training,Active,HQ,0,28,1/15/1994,Male,01-02-2005,Senior Recruiter,Cleveland,Ohio,
04-5783300,Nollie Torrance,Training,Active,HQ,0,51,3/25/1971,Male,29-08-2005,Senior Attorney,Cleveland,Ohio,
35-2278174,Lars Cornew,Training,Active,HQ,0,41,06-06-1981,Male,10-11-2015,General Manager,Cleveland,Ohio,
59-8426494,Viv Battaille,Training,Active,HQ,0,52,11-02-1970,Female,11-07-2014,Programmer III,Cleveland,Ohio,
23-5680794,Paige Bohike,Training,Active,HQ,0,42,05-02-1980,Male,22-12-2016,Senior Cost Accountant,Cleveland,Ohio,
33-4186111,Gaile Gillmor,Training,Active,HQ,0,29,02-01-1993,Female,22-07-2012,Accountant II,Cleveland,Ohio,
35-1460094,Tabby Jaquin,Training,Active,HQ,0,37,8/27/1985,Female,18-08-2017,Accountant III,Cleveland,Ohio,
52-1408820,Blondy Laxen,Training,Active,HQ,0,54,1/13/1968,Female,09-03-2012,Accountant IV,Cleveland,Ohio,
06-4504655,Darius Kalisz,Training,Terminated,HQ,0,53,11/17/1969,Female,20-07-2019,Accountant IV,Cleveland,Ohio,
05-3402073,Case Soro,Training,Active,HQ,0,45,12-07-1977,Female,03-12-2019,Accountant IV,Cleveland,Ohio,
55-3792685,Padgett Orans,Training,Active,HQ,0,49,1/28/1973,Female,18-02-2010,Accounting Assistant I,Cleveland,Ohio,
72-4325869,Janessa Vasiliu,Training,Active,HQ,0,27,9/20/1995,Female,22-12-2003,Accounting Assistant II,Cleveland,Ohio,
83-6618731,Evania Hamberston,Training,Active,HQ,0,54,09-03-1968,Female,03-05-2015,Accounting Assistant II,Cleveland,Ohio,
18-7453633,Omar Frensche,Training,Active,HQ,0,26,7/23/1996,Female,02-11-2020,Accounting Assistant III,Cleveland,Ohio,
19-9914176,Sidney Pennyman,Training,Active,HQ,0,43,04-03-1979,Female,02-05-2002,Actuary,Cleveland,Ohio,
71-5761989,Hyatt Stritton,Training,Active,HQ,0,38,8/29/1984,Female,26-05-2012,Budget/Accounting Analyst I,Cleveland,Ohio,
08-2759811,Eustace Sporrij,Training,Active,HQ,0,50,1/18/1972,Female,26-07-2004,Budget/Accounting Analyst III,Cleveland,Ohio,
45-7237084,Freddy Piola,Training,Active,HQ,0,44,09-11-1978,Female,10-03-2011,Budget/Accounting Analyst III,Cleveland,Ohio,
08-3516465,Gabriello Colquete,Training,Active,HQ,0,46,9/15/1976,Female,29-04-2011,Budget/Accounting Analyst III,Cleveland,Ohio,
28-1343358,Arvin Tosspell,Training,Active,HQ,0,21,09-11-2001,Female,13-12-2014,Budget/Accounting Analyst III,Cleveland,Ohio,
16-9528479,Heinrik Bellini,Training,Active,HQ,0,44,01-05-1978,Female,06-11-2003,Budget/Accounting Analyst IV,Cleveland,Ohio,
91-4079801,Fayre Artist,Training,Active,HQ,0,35,3/30/1987,Female,18-02-2009,Budget/Accounting Analyst IV,Cleveland,Ohio,
44-2587060,Nona Milkeham,Training,Active,HQ,0,48,6/20/1974,Female,09-09-2017,Budget/Accounting Analyst IV,Cleveland,Ohio,
76-0965964,Laurianne Levett,Training,Active,HQ,0,23,7/23/1999,Female,11-12-2017,Budget/Accounting Analyst IV,Cleveland,Ohio,
35-5823693,Annora Tomala,Training,Active,HQ,0,36,12/15/1986,Female,13-06-2020,Budget/Accounting Analyst IV,Cleveland,Ohio,
84-8196114,Whitaker Hessentaler,Training,Active,HQ,0,55,3/23/1967,Female,11-06-2008,Cost Accountant,Cleveland,Ohio,
64-1343637,Farand Bewlie,Training,Terminated,HQ,0,48,03-01-1974,Female,13-04-2011,Cost Accountant,Cleveland,Ohio,
32-9903463,Greta Tregido,Accounting,Active,HQ,0,48,10-06-1974,Female,08-12-2017,Cost Accountant,Cleveland,Ohio,
15-4264496,Kiel Antoons,Accounting,Active,HQ,0,25,10/23/1997,Female,02-12-2019,Cost Accountant,Cleveland,Ohio,
75-4750208,Carmencita Duffin,Accounting,Active,HQ,0,45,9/25/1977,Female,19-01-2012,Financial Analyst,Cleveland,Ohio,
30-3966132,Leonanie Colbran,Accounting,Terminated,HQ,0,43,12/26/1979,Female,06-01-2002,Senior Cost Accountant,Cleveland,Ohio,
42-1085679,Pollyanna Durbin,Accounting,Active,HQ,0,23,11/21/1999,Female,16-02-2006,Senior Cost Accountant,Cleveland,Ohio,
10-9514287,Lyon L'Episcopio,Accounting,Terminated,HQ,0,56,9/26/1966,Female,13-02-2013,Senior Cost Accountant,Cleveland,Ohio,
21-3714651,Conrad Tolemache,Accounting,Active,HQ,0,52,1/31/1970,Female,05-10-2016,Senior Cost Accountant,Cleveland,Ohio,
98-4745554,Tymothy Faley,Accounting,Active,HQ,0,45,4/23/1977,Female,15-02-2019,Senior Cost Accountant,Cleveland,Ohio,
91-2557636,Pietrek Kleinpeltz,Accounting,Active,HQ,0,37,5/27/1985,Female,22-02-2020,Senior Cost Accountant,Cleveland,Ohio,
46-5439787,Franklin Mirrlees,Accounting,Active,HQ,0,27,11/30/1995,Female,25-11-2003,Staff Accountant I,Cleveland,Ohio,
15-4080298,Chauncey Epilet,Accounting,Active,HQ,0,35,10-11-1987,Female,23-09-2007,Staff Accountant I,Cleveland,Ohio,
50-9322525,Faina Dable,Accounting,Active,HQ,0,43,09-06-1979,Female,10-09-2009,Staff Accountant I,Cleveland,Ohio,
34-4633691,Kara Lovatt,Accounting,Active,HQ,0,50,06-11-1972,Female,11-03-2013,Staff Accountant I,Cleveland,Ohio,
52-4206363,Fowler Claydon,Accounting,Active,HQ,0,40,07-07-1982,Female,08-01-2016,Staff Accountant I,Cleveland,Ohio,
31-7741238,Ike Commusso,Accounting,Active,HQ,0,34,10-04-1988,Female,06-03-2018,Staff Accountant I,Cleveland,Ohio,
13-1131187,Lorne Lively,Accounting,Active,HQ,0,38,01-02-1984,Female,24-03-2019,Staff Accountant I,Cleveland,Ohio,
75-2061110,Karim Montgomery,Accounting,Active,HQ,0,21,3/19/2001,Female,26-12-2004,Staff Accountant III,Cleveland,Ohio,
42-3263172,Nanni Scoffham,Accounting,Active,HQ,0,44,3/27/1978,Female,30-01-2002,Staff Accountant IV,Cleveland,Ohio,
81-1497802,Avrit Linturn,Accounting,Active,HQ,0,27,7/13/1995,Female,03-06-2015,Staff Accountant IV,Cleveland,Ohio,
85-1530254,Minette Laraway,Accounting,Active,HQ,0,30,1/25/1992,Female,17-09-2011,Structural Engineer,Cleveland,Ohio,
80-1320350,Faina Glanders,Accounting,Active,HQ,0,35,7/25/1987,Female,02-07-2001,Tax Accountant,Cleveland,Ohio,
67-1254614,Curcio Gwyllt,Accounting,Terminated,HQ,0,26,9/23/1996,Female,30-07-2001,Tax Accountant,Cleveland,Ohio,
84-4842186,Gerrilee Thewles,Accounting,Active,HQ,0,24,06-02-1998,Female,22-04-2003,Tax Accountant,Cleveland,Ohio,
51-2461836,May Naptin,Accounting,Active,HQ,0,30,6/15/1992,Female,23-10-2009,Tax Accountant,Cleveland,Ohio,
32-7897625,Hedy Killingworth,Accounting,Active,HQ,0,33,4/25/1989,Female,07-08-2011,Tax Accountant,Cleveland,Ohio,
39-5534639,Mohammed Cradoc,Accounting,Active,HQ,0,35,4/13/1987,Female,28-04-2012,Tax Accountant,Cleveland,Ohio,
65-9674900,Verney Di Bartolomeo,Accounting,Active,HQ,0,37,08-12-1985,Female,19-05-2013,Tax Accountant,Cleveland,Ohio,
79-0771247,Jacky Stegel,Accounting,Active,HQ,0,46,1/28/1976,Female,23-03-2014,Tax Accountant,Cleveland,Ohio,
06-7869044,Cherianne Winkle,Accounting,Active,HQ,0,57,10/16/1965,Female,08-05-2015,Tax Accountant,Cleveland,Ohio,
73-9366607,Remington Anderer,Accounting,Terminated,HQ,0,46,1/19/1976,Female,17-07-2017,Tax Accountant,Cleveland,Ohio,
84-4951268,Ailene Braddick,Accounting,Active,HQ,0,55,6/27/1967,Female,13-06-2008,VP Accounting,Cleveland,Ohio,
67-4697226,Renee Farrand,Accounting,Active,HQ,0,52,03-10-1970,Female,06-12-2014,VP Accounting,Cleveland,Ohio,
35-6564438,Ceciley Scarsbrooke,Accounting,Active,HQ,0,48,8/28/1974,Female,03-11-2004,Internal Auditor,Cleveland,Ohio,
80-2082816,Arron Gaythorpe,Accounting,Active,HQ,0,36,10-09-1986,Female,03-11-2008,Business Analyst,Cleveland,Ohio,
95-4878619,Armin Ashbolt,Accounting,Active,HQ,0,27,3/30/1995,Female,03-04-2009,Business Analyst,Cleveland,Ohio,
80-5651776,Timothea Strickler,Accounting,Active,HQ,0,55,07-07-1967,Female,07-01-2013,Business Analyst,Cleveland,Ohio,
93-9828633,Lou Bowich,Accounting,Active,HQ,0,41,8/16/1981,Female,17-02-2014,Business Analyst,Cleveland,Ohio,
